stop_id,stop_name,stop_desc,route_id
588,Morningside Nature Center,Eastbound E University AVE @ Nearside SE SE 38th *,11
1240,Northbound NE 25th Street @ NE 3rd Place,Northbound NE 25th ST @ Nearside NE 3rd PL,11
1553,Health Department,Southbound SE 24th ST @ Farside SE 2nd AVE,11
1192,Turlington Hall,Southbound Newell DR @ Farside Union RD,12
1027,Best Buy @ Butler Plaza,Southbound SW 37th BLVD @ Nearside Archer RD,12
636,Greenwich Green Apartments,Eastbound SW 37th BLVD @ Nearside SW 34th ST,12
1253,Graham Hall,Northbound Gale Lemerand DR @ Farside Museum RD,12
38,University Commons,Eastbound Archer RD @ Nearside SW 23rd TER,12
37,Brandywine Apartments,Eastbound Archer RD @ Farside Surge Area DR,12
469,Commuter Lot Parking Garage @ Gale Lemerand,Northbound Gale Lemerand DR @ Farside Mowry RD,12
635,Gateway at Gainesville Apartments,Southbound SW 37th BLVD @ Farside SW 38th ST,12
637,Aspen Ridge Apartments,Northbound SW 34th ST @ Farside SW 37th BLVD,12
652,Shands Hospital @ Helipad,Eastbound Shealy DR @ Farside Archer RD,12
35,Silver Creek Apartments,Eastbound Archer RD @ Farside SW 34th ST,12
34,Radio Shack @ Archer Road,Eastbound Archer RD @ Farside SW 34th ST,12
39,The Bartram Apartments,Eastbound Archer RD @ Farside SW 23rd DR,12
473,Reitz Union,Southbound McCarty DR @ Nearside Museum RD,12
1349,Hilton Garden Inn,Eastbound SW 33rd PL @ Farside SW 42nd ST,12
654,Shands Hospital @ Davis Cancer Pavilion,Northbound Gale Lemerand DR @ Farside Archer RD,12
653,Shands Hospital @ Parking Garage 9,Northbound Gale Lemerand DR @ Nearside Archer RD,12
36,Capstone Quarters Apartments,Eastbound Archer RD @ Farside Surge Area DR,12
645,University Town Center,Northbound SW 34th ST @ Nearside Archer RD,12
20,Mt Vernon Apartments,Westbound Archer RD @ Nearside SW 23rd DR,12
1303,O2B Kids @ SW 37th BLVD,Northbound SW 39th BLVD @ Nearside Archer RD,12
1549,Hilton Garden Inn,Westbound SW 33rd PL @ Nearside SW 42nd ST,12
1302,Greenwich Green Apartments,Westbound SW 39th BLVD @ Nearside SW 34th ST,12
1135,Shands Visitor Parking,Westbound Mowry RD @ Farside Center DR,12
1493,Butler Plaza Transfer Station,Westbound SW 30th Place @ Farside SW 42nd Street,12
22,Country Village,Westbound Archer RD @ Farside SW 23rd TER,12
1300,HH Gregg @ SW 34th ST,Southbound SW 34th ST @ Farside SW 35th PL,12
