"stop_id","stop_name","stop_desc"
"955","Gainesville Place Apartments","Northbound Old Archer RD @ Nearside SW 31st TER"
"956","Old Archer Road @ SW 34th Street","Westbound Old Archer RD @ Nearside SW 34th ST"
"957","Regency Oaks Apartments","Northbound SW 34th ST @ Farside Windmeadows BLVD"
"958","34th Street Plaza","Northbound SW 34th ST @ Nearside SW 20th AVE"
"960","34th Street Wall","Northbound SW 34th ST @ Nearside SW 2nd Ave"
"937","Point West Apartments","Southbound SW 34th ST @ Farside SW 2nd Ave"
"938","Maguire Village @ SW 34th Street","Southbound SW 34th ST @ Nearside Radio RD"
"942","34th Street Plaza","Southbound SW 34th ST @ Farside SW 20th AVE"
"943","Kelly's Kwik Stop","Southbound SW 34th ST @ Farside SW 24th AVE"
"945","Ridgemar Commons","Eastbound SW 35th PL @ Farside SW 32nd TER"
"946","Victoria Station Apartments","Eastbound SW 35th PL @ Farside SW 32nd TER"
"947","Gainesville Place Apartments @ SW 35th Place","Eastbound SW 35th PL @ Farside SW 28th TER"
"1140","Southbound SW 27th Street @ SW 35th Place","Southbound SW 27th ST @ Farside SW 35th PL"
"949","Lexington Crossing Apartments","Southbound SW 27th ST @ Farside SW 35th PL"
"950","Lexington Crossing Apartments","Southbound SW 27 PL @ Nearside SW 38th PL"
"1137","Savannah Place Apartments","Westbound SW 35th PL @ Farside SW 23rd TER"
"1138","Arbor Apartments","Westbound SW 35th PL @ Farside SW 23rd TER"
"1139","Casablanca Apartments","Westbound SW 35th PL @ Nearside SW 27th ST"
"1213","Lexington Crossing Apartments","Southbound SW 27th ST @ Nearside SW 40th PL"
"1542","The Polos Southwest Entrance","Eastbound SW 40th Pl. @ Nearside SW 25th Ter"
"967","Hunters Run Apartments","Westbound Williston RD @ Farside SW 25th TER"
"968","Campus Lodge Apartments","Westbound Williston RD @ Nearside SW 29Th Dr"
"969","Nationwide Insurance @ Williston Road","Westbound Williston RD @ Farside SW 29Th Dr"
"970","Williston Plaza","Northbound SW 34th ST @ Farside Williston RD"
"971","US Post Office @ SW 34th Street","Northbound SW 34th ST @ Nearside SW 47th AVE"
"972","Laurels Apartments","Northbound SW 34th ST @ Farside SW 47th AVE"
"974","Dollar General","Northbound SW 34th ST @ Farside SW 42 PL"
"642","University Terrace Condominiums","Northbound SW 34th ST @ Nearside SW 39th BLVD"
"1310","Williston Plaza","Northbound SW 47th AVE @ Nearside SW 34th ST"
"31","Regal  Cinema 14 @ Butler Plaza","Northbound Windmeadows BLVD @ Farside SW 35th BLVD"
"33","Spanish Trace Apartments","Eastbound Windmeadows BLVD @ Nearside SW 34th ST"
"1177","Fifield Hall","Westbound Hull RD @ Farside Mowry RD"
"1179","Pressly Softball Stadium","Westbound Hull RD @ Farside Natural Area DR"
"1180","Southwest Recreation Center","Westbound Hull RD @ Nearside Bledsoe DR"
"1155","Spanish Trace Apartments","Westbound Windmeadows BLVD @ Farside SW 34th ST"
"1156","Windmeadows Apartments","Westbound Windmeadows BLVD @ Nearside SW 35th ST"
"1307","Alarion Bank @ 34th ST","Southbound SW 34th ST @ Farside SW 42nd PL"
"1308","US Post Office @ SW 34th Street","Southbound SW 34th ST @ Nearside SW 47th AVE"
"1309","Williston Plaza","Westbound SW 48th LN @ Nearside SW 34th ST"
"1321","The Enclave Apartments","Westbound SW 35th PL @ Nearside SW 34th ST"
"1322","Rocky Point Apartments","Westbound SW 35th PL @ Nearside SW 34th ST"
"1337","Gainesville Place","Southbound Gainesville Place Apartments @ Nearsid*"
"1267","University Commons Apartments","Westbound Old Archer RD @ Farside SW 23rd TER"
"1268","Brandywine Apartments","Westbound Old Archer RD @ Farside SW 28th PL"
"1269","Archer Court Apartments","Westbound Old Archer RD @ Nearside SW 28th Pl"
"1270","Gainesville Place Apartments","Southbound Gainesville Place Ent @ Old Archer RD"
"1333","Enclave 1","Eastbound SW 32nd Terrace @ E of Main Bldg"
"1460","Enclave 3","Eastbound SW 32nd Terrace @ Traffic Circle"
"1341","Enclave 4","Eastbound Enclave Apartments @ Nearside Enclave A*"
"1539","Possum Creek Park","Northbound NW 41st Ter @ Nearside NW 53rd Ave"
"1538","Hunter's Crossing","Southbound NW 43rd St. @ Farside NW 52nd Pl"
"1534","Southbound NW 43rd St. @ NW 48th Pl","Southbound NW 43rd St. @ Nearside NW 48th Pl"
"1532","Southbound NW 43rd St. @ NW 46th Ave","Southbound NW 43rd St. @ Nearside NW 46th Ave"
"1530","Southbound NW 43rd St. @ NW 44th Ave","Southbound NW 43rd St. @ Farside NW 44th Ave"
"1528","Southbound NW 43rd St. @ NW 41st Pl","Southbound NW 43rd St. @ Farside NW 41st Pl"
"1391","Metrocorp Center","Eastbound NW 39th AVE @ Nearside NW 40th TER"
"1389","Eastbound NW 39th AVE @ NW 37th ST","Eastbound NW 39th AVE @ Farside NW 37th ST"
"1388","Sable Chase Neighborhood","Eastbound NW 39th AVE @ Farside NW 35th ST"
"1526","Southbound NW 34th St. @ NW 37th Ave","Northbound NW 34th St. @ Nearside NW 37th Ave"
"1524","Southbound NW 34th St. @ NW 33rd Ln","Southbound NW 34th St. @ Nearside NW 33rd Ln"
"1536","Southbound NW 34th St @ NW 30th Pl","Southbound NW 34th St. @ Farside NW 30th Blvd"
"1522","Southbound NW 34th St @ NW 26th Pl","Southbound NW 34th St. @ Nearside NW 34th Ter"
"1520","Southbound NW 34th St. @ NW 21st Pl","Southbound NW 34th St. @ Nearside NW 21st Pl"
"1518","Greenbriar Terrace Community","Southbound NW 34th St. @ Farside NW 19th Pl"
"1516","Southbound Westwood Middle School","Southbound NW 34th St. @ Farside NW 15th Pl"
"1514","Littlewood Elementary School","Southbound NW 34th St. @ Nearside NW 8th Ave"
"1512","Southbound NW 34th St. @ NW 7th Ave","Southbound NW 34th St. @ Nearside NW 7th Ave"
"1510","Southbound Loblolly Woods South Entrance","Southbound NW 34th St @ Nearside NW 5th Ave"
"1509","Northbound Loblolly Woods South Entrance","Northbound NW 34th Street @ Nearside NW 5th Ave"
"1511","Northbound NW 34th St. @ NW 8th Ave","Northbound NW 34th St. @ Nearside NW 8th Ave"
